neilson_brand_description,gg_brand_description,twitter,sector,label
NEXXUS X STYLE EFFECTS,nexxus,nexxushair,Personal Care,Correct
NORELCO SENSO TOUCH 3D,norelco,philipsnorelco,Personal Care,Correct
OCEAN SPRAY DT JUICE & TE,ocean spray,oceansprayinc,Food,Correct
OLYMPUS & DURACELL COPPER,olympus,getolympus,Electronics,Correct
ORAL-B PULSAR 3D WHITE,oralb,oralb,Personal Care,Correct
ORIGINS HIGH PTNCY NGHT-A,origins,origins,Personal Care,Correct
OSCAR MAYER JUBILEE,oscar mayer,oscarmayer,Food,Correct
PALMER'S RAPID MOISTURE,palmers,palmersuk,Personal Care,Correct
PANASONIC RT-604,panasonic,panasonic,Electronics,Correct
PEDIGREE TRAINER,pedigree,pedigreeus,Pet Food,Correct
PEPPERIDGE FARM SPCL CLTN,pepperidge farm,pepperidgefarm,Food,Correct
PERRY ELLIS PALTINUM LABE,perry ellis,perryellis,Personal Care,Correct
PHYTO PLAN,phyto,phytohaircare,Personal Care,Incorrect
PILLSBURY TOASTER STRUDEL,pillsbury,pillsbury,Food,Correct
POND'S & Q-TIPS,ponds,ponds,Personal Care,Correct
POPSICLE TROPICALS,popsicle,popsicle,Food,Correct
PUREX SOFT,purex,purex,Household Che,Correct
PURINA DEALERS PRIDE,purina,purina,Pet Food,Correct
PURINA ONE BEYOND,purina one,purinaonedog,Pet Food,Correct
PURINA WAGGIN' TRAIN WRAP,purina,purina,Pet Food,Correct
RED BARON STUFFED PIZZA S,red baron,redbaronpizza,Food,Correct
REVLON BOX O'FILES,revlon,revlon,Personal Care,Correct
REVLON DRY SKIN RELIEF,revlon,revlon,Personal Care,Correct
REVLON LINE & SHINE,revlon,revlon,Personal Care,Correct
REVLON PARFUMERIE,revlon,revlon,Personal Care,Correct
REVLON SPA IMPRESSIONS,revlon,revlon,Personal Care,Correct
REVLON ULTRAVELVET,revlon,revlon,Personal Care,Correct
RUFFLES & SUNCHIPS,ruffles,ruffles,Food,Correct
SALLY HANSEN GET IN SHAPE,sally hansen,sallyhansenuk,Personal Care,Correct
SALLY HANSEN NO MORE FUNG,sally hansen,sallyhansenuk,Personal Care,Correct
SAMBAZON,sambazon,sambazon,Food,Correct
SARA LEE SIMPLE MEAL SOLU,sara lee,saraleedesserts,Food,Correct
SCHICK QUATTRO & ENERGIZE,schick,schickhydro,Personal Care,Correct
SCRUBBING BUBBLES FRESH B,scrubbing bubbles,scrubbingbubble,Household Che,Correct
SIERRA MIST R,sierra mist,sierramist,Food,Correct
SMART COOKIE VINEYARDS,smart,smartcarusa,Car,Incorrect
SMART SELECTIONS,smart,smartcarusa,Car,Incorrect
SMITH & NEPHEW TRIPLE CAR,smith nephew,smithnephew,Personal Care,Correct
SNYDER'S OF HANOVER BOWTI,snyders of hanover,snyders_hanover,Food,Correct
SONY MP,sony,sony,Electronics,Correct
STARBUCKS & FRAPPUCCINO,starbucks,starbucks,Food,Correct
STOUFFER'S CLASSIC RECIPE,stouffers,stouffers,Food,Correct
SUAVE SCALP SOLUTIONS,suave,suavebeauty,Personal Care,Correct
SYNERGY LABS SPLASH,synergy,citrixsynergy,Electronics,Incorrect
THE COLOR WORKSHOP ARTIST,the color workshop,thecolorwrkshop,Personal Care,Correct
THE COLOR WORKSHOP DEJVOU,the color workshop,thecolorwrkshop,Personal Care,Correct
THE COLOR WORKSHOP NAIL C,the color workshop,thecolorwrkshop,Personal Care,Correct
THE COLOR WORKSHOP SUNSTN,the color workshop,thecolorwrkshop,Personal Care,Correct
TILLAMOOK,tillamook,tillamookcheese,Food,Correct
TOO FACED NAKED EYE,too faced,toofaced,Personal Care,Correct
TRESOR DE LA RIVIERE,tresor,tresorparis,Personal Care,Incorrect
TURKEY HILL CREAMY COMMOT,turkey hill,turkeyhilldairy,Food,Correct
ULTIMA II THE NAKEDS,ultima ii,ultima_id,Personal Care,Correct
VELVEETA -S,velveeta,eatliquidgold,Food,Correct
VICHY LAB LFTV CXP EYS,vichy,vichyuk,Personal Care,Correct
VIDAL SASSOON CHOICE,vidal sassoon,vidalsassoon,Personal Care,Correct
VITABATH & CLAIRE BURKE,vitabath,vitabath,Personal Care,Incorrect
WET 'N' WILD BEAUTY BENEF,wet n wild,wetnwildbeauty,Personal Care,Correct
WET 'N' WILD MEGA SHIMMER,wet n wild,wetnwildbeauty,Personal Care,Correct
WHISKAS PURRFECTLY FISH,whiskas,whiskas_uk,Pet Food,Correct
YOPLAIT BABY,yoplait,yoplait,Food,Correct
